City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
436,Grand-Lahou,CI,79.92,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
449,Le Vauclin,MQ,78.93,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
451,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
453,Pemangkat,ID,77.41,overcast clouds,1.1667,108.9667,Ramah Kost KITA
454,Necochea,AR,82.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
456,Fare,PF,80.89,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
460,Bondoukou,CI,80.38,clear sky,8.0333,-2.8,Prestige Hotel
463,Nioro,GM,81.64,broken clouds,13.35,-15.75,
468,Bubaque,GW,78.21,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
473,Tayoltita,MX,78.93,scattered clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
481,Sorong,ID,78.04,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
483,Maunabo,PR,78.71,scattered clouds,18.0072,-65.8993,Maunacaribe
485,Kuala Terengganu,MY,80.55,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
489,Samarai,PG,83.01,overcast clouds,-10.6167,150.6667,Nuli Sapi
493,Calvinia,ZA,77.52,overcast clouds,-31.4707,19.776,Die Lemoenhuis
494,Grand Gaube,MU,81.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
496,Caravelas,BR,78.22,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
498,Pochutla,MX,83.3,few clouds,15.7432,-96.4661,Hotel Posada San Jose
501,Molina,CL,83.93,clear sky,-35.1167,-71.2833,Hostal Pucará
504,Isangel,VU,84.34,scattered clouds,-19.55,169.2667,Tanna Lodge
510,Trairi,BR,79.79,few clouds,-3.2778,-39.2689,janelas do mar
515,Ridgecrest,US,76.64,overcast clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
523,La Palma,US,85.95,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
524,Phangnga,TH,80.64,overcast clouds,8.4509,98.5298,Sunimit Mansion
532,Perth,AU,76.08,clear sky,-31.9333,115.8333,Quest on Rheola
533,Jizan,SA,77.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
537,Valenca,BR,75.83,broken clouds,-13.3703,-39.0731,Hotel Galeão
538,Cap Malheureux,MU,81.09,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
546,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
555,Mahibadhoo,MV,80.83,overcast clouds,3.7833,72.9667,Omadhoo Inn
561,Lampa,CL,81.43,clear sky,-33.2833,-70.9,El sueño de Lampa I y II
571,Bandarbeyla,SO,76.23,broken clouds,9.4942,50.8122,JABIR HOTEL
578,Alta Floresta,BR,75.02,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
583,Mucurapo,TT,80.65,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
585,Acari,PE,75.29,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
596,Saint-Joseph,RE,79.16,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
609,Mumford,GH,79.61,overcast clouds,5.2618,-0.759,Spanish Villa
612,Tonj,SS,77.47,broken clouds,7.2737,28.6822,Lakan Hotel
613,Pilar,BR,76.93,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
616,Sao Jose Da Coroa Grande,BR,80.67,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
618,Ranong,TH,77.65,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
619,Upata,VE,79.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
622,Presidencia Roque Saenz Pena,AR,83.41,clear sky,-26.7852,-60.4388,Hotel Gualok
623,Kloulklubed,PW,82.11,clear sky,7.0419,134.2556,Storyboard Beach Resort
624,Sakete,BJ,81.54,broken clouds,6.7362,2.6587,IBUKUN OLUWA
627,Valdivia,CL,75.29,clear sky,-39.8142,-73.2459,Hostal Entre Rios
639,Malakal,SS,77.25,few clouds,9.5334,31.6605,Nile Palace Hotel
645,Batticaloa,LK,77.05,overcast clouds,7.7102,81.6924,Grand Star Guest House
646,Cooma,AU,78.8,clear sky,-36.2333,149.1333,High Country Motel
649,Yenagoa,NG,80.22,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
652,Bembereke,BJ,78.78,few clouds,10.2283,2.6634,Hotel Bio Guera
656,Lakatoro,VU,84.54,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
658,Kanniyakumari,IN,76.82,scattered clouds,8.0833,77.5667,Sparsa Kanyakumari
668,Fomboni,KM,82.2,light rain,-12.28,43.7425,Auberge les abou
673,Gizo,SB,82.78,overcast clouds,-8.103,156.8419,Imagination Island
674,Belawan,ID,75.34,moderate rain,3.7755,98.6832,Rumah Mamak Bapak M.Radial
676,Sydney,AU,79.61,scattered clouds,-33.8679,151.2073,The Grace Sydney
678,Nouakchott,MR,75.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
