City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Maniitsoq,GL,65.4167,-52.9,-1.73,88,100,5.35,light snow
217,Severo-Kurilsk,RU,50.6789,156.125,27.61,72,100,13.67,overcast clouds
218,Mount Isa,AU,-20.7333,139.5,83.97,42,100,8.05,overcast clouds
219,Vila Velha,BR,-20.3297,-40.2925,80.55,88,40,14.97,scattered clouds
220,San Juan,AR,-31.5375,-68.5364,90.28,16,9,14.29,clear sky
221,Laguna,US,38.421,-121.4238,72.64,62,0,14.97,clear sky
222,La Ronge,CA,55.1001,-105.2842,-0.15,60,20,8.05,few clouds
223,Los Llanos De Aridane,ES,28.6585,-17.9182,60.12,82,100,8.05,overcast clouds
224,Labrea,BR,-7.2586,-64.7981,73.58,99,100,1.45,heavy intensity rain
225,Dawei,MM,14.0833,98.2,74.66,83,84,2.64,broken clouds
226,Vestmannaeyjar,IS,63.4427,-20.2734,37.6,97,100,43.35,light rain
227,Pangkalanbuun,ID,-2.6833,111.6167,74.73,94,94,1.68,overcast clouds
228,Alexandria,EG,31.2156,29.9553,55.36,88,40,8.05,scattered clouds
229,Sitka,US,57.0531,-135.33,39.09,81,75,4.61,light rain
230,Makrana,IN,27.05,74.7167,57.6,36,0,8.3,clear sky
231,Storm Lake,US,42.6411,-95.2097,28.35,63,0,5.75,clear sky
232,Viedma,AR,-40.8135,-62.9967,67.03,72,46,11.77,scattered clouds
233,Victoria,HK,22.2855,114.1577,62.58,86,100,8.01,overcast clouds
234,Amarante Do Maranhao,BR,-5.5667,-46.7422,72.14,96,96,2.89,overcast clouds
235,Thompson,CA,55.7435,-97.8558,-9.24,54,0,4.61,clear sky
236,Shelburne,CA,44.0787,-80.2041,10.85,60,100,4.25,overcast clouds
237,Lompoc,US,34.6391,-120.4579,72.12,80,75,13.8,mist
238,Krasnouralsk,RU,58.3638,60.0407,0.27,99,46,4.94,scattered clouds
239,Rosarito,MX,32.3333,-117.0333,82.63,59,2,8.19,clear sky
240,Alice Springs,AU,-23.7,133.8833,81.95,51,11,0,few clouds
241,Lagoa,PT,39.05,-27.9833,59.94,82,98,12.41,overcast clouds
242,Dukat,RU,62.55,155.55,-24.14,99,82,4.21,broken clouds
243,Comodoro Rivadavia,AR,-45.8667,-67.5,84.06,24,79,24.16,broken clouds
244,Punta Alta,AR,-38.8759,-62.0736,81.68,45,1,12.44,clear sky
245,Dhidhdhoo,MV,6.8833,73.1,81.43,69,72,6.33,broken clouds
246,Russell,US,32.3502,-85.1999,61.88,25,0,8.05,clear sky
247,Port Macquarie,AU,-31.4333,152.9167,73.89,61,61,8.3,broken clouds
248,Teknaf,BD,20.8624,92.3058,59.11,60,19,7.09,few clouds
249,Huarmey,PE,-10.0681,-78.1522,73.99,75,11,10.54,few clouds
250,Cabo San Lucas,MX,22.8909,-109.9124,86.61,24,0,8.05,clear sky
251,Alyangula,AU,-13.8483,136.4192,71.47,100,40,4.61,scattered clouds
252,Diffa,NE,13.3154,12.6113,73.24,12,1,9.44,clear sky
253,Panorama,GR,40.5878,23.0315,43.43,82,21,1.99,few clouds
254,Boueni,YT,-12.9025,45.0761,80.58,77,87,7.72,overcast clouds
255,Mount Pleasant,US,32.7941,-79.8626,57.34,32,0,4.61,clear sky
256,Barcelona,ES,41.3888,2.159,53.47,75,20,5.75,few clouds
257,Balikpapan,ID,-1.2675,116.8289,76.19,94,40,3.44,moderate rain
258,Keti Bandar,PK,24.1447,67.4497,69.1,71,0,8.03,clear sky
259,Bytow,PL,54.1706,17.4919,39.69,78,16,9.78,few clouds
260,Huilong,CN,31.8111,121.655,45.03,75,100,11.77,overcast clouds
261,Ilulissat,GL,69.2167,-51.1,3.22,78,100,9.22,light snow
262,Kalmunai,LK,7.4167,81.8167,76.35,71,93,8.03,overcast clouds
263,Mackay,AU,-21.15,149.2,77.68,88,75,14.97,broken clouds
264,Papar,MY,5.7333,115.9333,75.2,84,96,4.18,overcast clouds
265,Ponta Do Sol,PT,32.6667,-17.1,62.06,75,98,4.97,overcast clouds
266,Tilichiki,RU,60.4667,166.1,-17.54,91,100,11.63,overcast clouds
267,Antofagasta,CL,-23.65,-70.4,69.08,78,36,6.64,scattered clouds
268,Port Hedland,AU,-20.3167,118.5667,84.25,61,24,9.22,few clouds
269,Lingao,CN,19.9103,109.6859,65.37,88,100,14.12,overcast clouds
270,Tessalit,ML,20.1986,1.0114,62.28,18,36,9.01,scattered clouds
271,Kavieng,PG,-2.5744,150.7967,84.34,71,46,5.14,light rain
272,Tasiilaq,GL,65.6145,-37.6368,28.56,79,100,49.53,light snow
273,La Plata,AR,-34.9215,-57.9545,84.11,36,0,7.14,clear sky
274,Safaga,EG,26.7292,33.9365,60.75,46,0,16.42,clear sky
275,Whitehorse,CA,60.7161,-135.0538,25.11,76,100,0,overcast clouds
